ID,Seguidores,Siguiendo,Favoritos Cuenta
ManuPicon,1193,2006,600
fidex2020,182,230,238
orodetoscalta,50,202,80
_LUZVIDA_,3582,709,74
marianvelasco,5016,3769,4326
bvalencialopezq,26,92,2
CorreWays,1251,1730,811
eComercioAgr,2152,1402,1172
Robernavidades,748,945,5785
TodCocina,145,101,80
raulslot,85,210,261
delsuperes,547,149,327
AceitesGaro,14,63,0
aubocassa,404,238,255
caldeolive,1741,370,660
GaliciousOnline,3457,1804,3738
origenonline,15645,4607,6602
ElaiaZait,1424,1389,4643
Cocina_Maud,55,401,340
jose64pozo1991,209,229,8093
mariajosefasol,94,304,421
Miarteh,33,288,5
agrnegocios,14355,2559,8179
delisierra,349,341,23
queridilla,3032,1914,16483
ascardinca,931,2747,339
SilviaMabelGom4,29,206,131
TricicloMadrid,4468,1923,1209
JavierGoyaChef,2178,1720,738
ForChinaTrade,55,354,128
teleoliva,93,241,45
baenaoliva,8922,8696,939
unimedicaccs,231,256,59
marbAllStars,644,494,1504
casadelreyprieg,440,498,1845
lali_amiga,2512,1854,43146
fincaelsaltillo,123,488,79
ChileOliva,11646,11051,1829
OlivicolaLaur,534,394,477
JavierFranco18,901,188,19
Oroliquido,384,814,280
TabernaChapeau,45,91,652
EduardoEpo,78,252,316
AgrariasRepro,560,2217,22977
OiltogetherBot,83,1,6
SanoManjar,62865,49858,9583
henrimoraove,249,339,317
Balcondelsur,101,134,297
anaescobarayc,5237,1083,1972
AceiteTabernas,1463,652,2
KitesurfBcn,3153,3367,3361
Albacete_MJ,437,600,350
javimerinocrea,525,794,189
AguaLeonor,3373,2132,24603
evamariacano,428,503,25079
ayc_accion,4585,2096,4884
FincalaTorre,989,295,1010
AnaR_FM,47,64,0
cynthiamlg,685,2366,2529
Growtheventsesp,42,150,154
GastroMag_es,78,183,144
AnaAnIzquierdo,30,50,769
stierrabrava,1691,2005,7
TalaveraJosefa,91,185,171
exposito_carmen,36,124,51
IsaRoblesMalaga,531,397,99
HaciendaOrtigos,194,139,77
anacarmen2006,201,637,1634
evoofans,1364,863,895
CordobaShops,2075,572,4293
FincaColchado,501,899,173
dietanutric,230,490,39
maryjogj,736,707,40496
Al_Margen,930,805,886
AndaluciaSabor,6628,2847,2527
